uri,child_id,group,DER,JER,Purity,Coverage,F-measure,DetER,IER,IER_miss,IER_FA,IER_confusion,F1_KCHI,P_KCHI,R_KCHI,F1_FEM,P_FEM,R_FEM,F1_MAL,P_MAL,R_MAL,F1_OCH,P_OCH,R_OCH,AvgF1
AR31_021108a,AR31,HI,0.5292,0.5521,0.8861,0.4833,0.6255,0.4581,0.5292,0.4579,0.0125,0.0588,0.6503,0.9081,0.5065,0.6011,0.8475,0.4657,0.0,0.0,0.0,0.0,0.0,0.0,0.3128
AR31_021108b,AR31,HI,0.5752,0.579,0.897,0.4323,0.5834,0.5217,0.5752,0.5217,0.0074,0.046,0.5319,0.9194,0.3742,0.6464,0.8637,0.5165,0.0,0.0,0.0,0.0,0.0,0.0,0.2946
AR31_021108c,AR31,HI,0.5379,0.5869,0.8192,0.4644,0.5928,0.4346,0.5379,0.4344,0.0024,0.1011,0.5453,0.7941,0.4153,0.6214,0.8311,0.4962,0.0,0.0,0.0,0.0,0.0,0.0,0.2917
BE05_021023a,BE05,NH,0.4801,0.4988,0.8339,0.5686,0.6762,0.3387,0.4801,0.3387,0.0486,0.0928,0.6023,0.8328,0.4717,0.7152,0.8164,0.6363,0.0,0.0,0.0,0.7224,0.8396,0.6338,0.51
BE05_021023b,BE05,NH,0.59,0.6065,0.6764,0.4608,0.5482,0.3398,0.59,0.3357,0.0508,0.2034,0.5687,0.6299,0.5183,0.6738,0.7446,0.6153,0.0,0.0,0.0,0.4959,0.6897,0.3871,0.4346
BE05_021023c,BE05,NH,0.5431,0.5651,0.8469,0.4762,0.6096,0.4335,0.5431,0.4383,0.0193,0.0855,0.5767,0.8425,0.4384,0.0,0.0,0.0,0.0,0.0,0.0,0.648,0.8405,0.5273,0.3062
BN31_020108a,BN31,HI,0.7604,0.8427,0.7782,0.2457,0.3735,0.6905,0.7604,0.6904,0.0061,0.0639,0.3786,0.7291,0.2556,0.385,0.8733,0.2469,0.0,0.0,0.0,0.0,0.0,0.0,0.1909
BN31_020108b,BN31,HI,0.6044,0.6185,0.8961,0.399,0.5521,0.5547,0.6044,0.5547,0.0033,0.0463,0.5466,0.8573,0.4012,0.5647,0.9409,0.4034,0.0,0.0,0.0,0.0,0.0,0.0,0.2778
BN31_020108c,BN31,HI,0.7491,0.8267,0.7063,0.2865,0.4076,0.6309,0.7742,0.6385,0.0478,0.0879,0.5586,0.7383,0.4493,0.1326,0.6426,0.0739,0.2968,0.8369,0.1804,0.178,0.3238,0.1227,0.2915
BS80_020919a,BS80,NH,0.5582,0.7127,0.8121,0.4666,0.5927,0.431,0.5582,0.431,0.0184,0.1088,0.5728,0.8746,0.4258,0.6423,0.7434,0.5654,0.0,0.0,0.0,0.0,0.0,0.0,0.3038
