uri,child_id,group,DER,JER,Purity,Coverage,F-measure,DetER,IER,IER_miss,IER_FA,IER_confusion,F1_KCHI,P_KCHI,R_KCHI,F1_FEM,P_FEM,R_FEM,F1_MAL,P_MAL,R_MAL,F1_OCH,P_OCH,R_OCH,AvgF1
LJ30_020702b,LJ30,HI,0.5493,0.5233,0.8843,0.4786,0.6211,0.4914,0.5493,0.4805,0.028,0.0409,0.5498,0.8652,0.4029,0.4107,0.9558,0.2616,0.6761,0.8893,0.5454,0.8678,0.9494,0.7991,0.6261
LJ30_020702c,LJ30,HI,0.6196,0.6726,0.6955,0.4288,0.5305,0.4095,0.6196,0.4101,0.0484,0.1611,0.6246,0.6722,0.5833,0.5069,0.7631,0.3795,0.4856,0.6815,0.3771,0.3637,0.6615,0.2508,0.4952
MA28_020600a,MA28,HI,0.3973,0.5184,0.7857,0.6648,0.7202,0.1947,0.3973,0.1944,0.0378,0.1651,0.4592,0.7588,0.3292,0.8151,0.7919,0.8398,0.0,0.0,0.0,0.0,0.0,0.0,0.3186
MA28_020600b,MA28,HI,0.4202,0.5976,0.8304,0.5903,0.6901,0.292,0.4202,0.2912,0.0105,0.1185,0.6476,0.8801,0.5123,0.7369,0.7963,0.6858,0.2659,0.6481,0.1672,0.0,0.0,0.0,0.4126
MA28_020600c,MA28,HI,0.4541,0.5797,0.9031,0.5675,0.697,0.4033,0.4541,0.3877,0.0214,0.045,0.6445,0.9424,0.4897,0.7805,0.8661,0.7103,0.2661,1.0,0.1535,0.0,0.0,0.0,0.4228
ME69_020528a,ME69,HI,0.1993,0.1885,0.9773,0.8215,0.8927,0.1975,0.1993,0.1785,0.0208,0.0,0.897,0.9852,0.8233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2243
ME69_020528b,ME69,HI,0.4359,0.495,0.9693,0.5873,0.7314,0.3336,0.431,0.3762,0.0183,0.0365,0.7393,0.9802,0.5935,0.73,0.942,0.5959,0.182,0.1145,0.4427,0.8732,1.0,0.7749,0.6311
ME69_020528c,ME69,HI,0.5137,0.6934,0.8091,0.5181,0.6317,0.3813,0.5137,0.3746,0.0278,0.1113,0.5773,0.7984,0.4522,0.6921,0.8107,0.6038,0.0,0.0,0.0,0.0,0.0,0.0,0.3174
MH93_020602a,MH93,HI,0.488,0.565,0.812,0.5443,0.6517,0.3463,0.488,0.3454,0.0323,0.1103,0.7344,0.8031,0.6765,0.5879,0.9419,0.4273,0.7182,0.8762,0.6085,0.3465,0.5315,0.257,0.5968
MH93_020602b,MH93,HI,0.4806,0.6845,0.7985,0.5485,0.6503,0.3141,0.4806,0.3142,0.0188,0.1476,0.513,0.6092,0.443,0.0,0.0,0.0,0.719,0.8647,0.6153,0.0907,0.2882,0.0538,0.3307
MH93_020602c,MH93,HI,0.4413,0.6189,0.9477,0.5723,0.7136,0.4084,0.4413,0.4073,0.0099,0.0241,0.7138,0.9672,0.5656,0.0,0.0,0.0,0.7449,0.9221,0.6248,0.0,0.0,0.0,0.3647
ML27_020619a,ML27,NH,0.719,0.7629,0.5838,0.3672,0.4508,0.4187,0.719,0.4117,0.0796,0.2278,0.5756,0.5034,0.6721,0.5038,0.7348,0.3834,0.2801,0.5646,0.1863,0.1784,0.3136,0.1246,0.3845
ML27_020619b,ML27,NH,0.6383,0.6075,0.8696,0.4517,0.5946,0.1997,0.6383,0.4676,0.065,0.1057,0.5269,0.8985,0.3727,0.4079,0.3963,0.4201,0.0,0.0,0.0,0.7902,0.7514,0.8333,0.4313
ML27_020619c,ML27,NH,0.5751,0.6799,0.7792,0.5047,0.6126,0.3389,0.5735,0.3296,0.0737,0.1702,0.6333,0.7833,0.5315,0.6366,0.8065,0.5259,0.1352,0.0843,0.3412,0.0,0.0,0.0,0.3513
ML77_020400a,ML77,HI,0.654,0.6593,0.8514,0.3564,0.5025,0.5858,0.654,0.5836,0.0103,0.06,0.4657,0.8238,0.3246,0.5669,0.8874,0.4165,0.0,0.0,0.0,0.0,0.0,0.0,0.2581
ML77_020400b,ML77,HI,0.6181,0.644,0.8673,0.3907,0.5387,0.5535,0.6181,0.5539,0.0089,0.0553,0.5719,0.8906,0.4212,0.4796,0.8079,0.3411,0.0,0.0,0.0,0.0,0.0,0.0,0.2629
ML77_020400c,ML77,HI,0.7137,0.7591,0.8172,0.2928,0.4311,0.6539,0.7137,0.6478,0.0066,0.0594,0.2874,0.7045,0.1805,0.4785,0.8438,0.334,0.0,0.0,0.0,0.0,0.0,0.0,0.1915
MM28_020807a,MM28,HI,0.5643,0.5318,0.9334,0.4579,0.6144,0.5283,0.5643,0.5277,0.0221,0.0144,0.5944,0.9512,0.4323,0.6803,0.8799,0.5546,0.0,0.0,0.0,0.0,0.0,0.0,0.3187
MM28_020807b,MM28,HI,0.6082,0.6117,0.9265,0.3996,0.5584,0.5762,0.6082,0.5738,0.0078,0.0266,0.5574,0.9211,0.3996,0.5621,0.928,0.4031,0.0,0.0,0.0,0.0,0.0,0.0,0.2799
MM28_020807c,MM28,HI,0.5808,0.5674,0.8072,0.4572,0.5838,0.4581,0.5802,0.457,0.0375,0.0857,0.5704,0.9637,0.4051,0.5828,0.6879,0.5056,0.6753,0.7173,0.638,0.0,0.0,0.0,0.4571
PC01_020423a,PC01,NH,0.8034,0.8263,0.7838,0.2137,0.3358,0.7438,0.8034,0.7491,0.0037,0.0506,0.3855,0.8365,0.2505,0.2501,0.679,0.1533,0.4768,0.807,0.3384,0.0,0.0,0.0,0.2781
PC01_020423b,PC01,NH,0.7167,0.8146,0.9078,0.2847,0.4335,0.6863,0.7167,0.6863,0.0014,0.0289,0.4885,0.9113,0.3337,0.379,0.9,0.24,0.3265,0.9004,0.1994,0.0,0.0,0.0,0.2985
PC01_020423c,PC01,NH,0.8071,0.7892,0.9031,0.1975,0.3241,0.7881,0.8071,0.7847,0.0046,0.0178,0.3112,0.9192,0.1873,0.3961,0.5736,0.3025,0.3378,0.9318,0.2063,0.0,0.0,0.0,0.2613
PM28_020501a,PM28,HI,0.5485,0.5568,0.8793,0.4631,0.6067,0.4817,0.5485,0.48,0.0116,0.0569,0.5718,0.9096,0.4169,0.6639,0.8483,0.5453,0.0,0.0,0.0,0.0,0.0,0.0,0.3089
PM28_020501b,PM28,HI,0.5723,0.5709,0.8317,0.4634,0.5952,0.4506,0.5723,0.4486,0.0357,0.0881,0.6641,0.8747,0.5352,0.5537,0.7696,0.4324,0.0,0.0,0.0,0.0,0.0,0.0,0.3044
PM28_020501c,PM28,HI,0.5573,0.5498,0.8783,0.4625,0.6059,0.482,0.5573,0.4815,0.0198,0.056,0.5699,0.9106,0.4148,0.6871,0.8325,0.5849,0.0,0.0,0.0,0.0,0.0,0.0,0.3143
PX78_020518a,PX78,HI,0.6002,0.6576,0.8106,0.4173,0.551,0.4941,0.6002,0.4914,0.0171,0.0917,0.5839,0.7923,0.4623,0.5274,0.9,0.373,0.4181,0.6272,0.3135,0.0,0.0,0.0,0.3823
PX78_020518b,PX78,HI,0.6569,0.6492,0.8134,0.3681,0.5068,0.5708,0.6569,0.5634,0.025,0.0685,0.5362,0.8085,0.4011,0.6057,0.9941,0.4355,0.4118,0.7533,0.2833,0.0,0.0,0.0,0.3884
PX78_020518c,PX78,HI,0.6361,0.6553,0.8482,0.3731,0.5182,0.5667,0.6361,0.5634,0.0092,0.0635,0.4415,0.8091,0.3035,0.5837,0.8695,0.4393,0.0,0.0,0.0,0.0,0.0,0.0,0.2563
RH29_020604a,RH29,NH,0.7479,0.7538,0.8337,0.2611,0.3977,0.6743,0.7479,0.6887,0.009,0.0502,0.3296,0.7998,0.2076,0.4895,0.8379,0.3458,0.3618,1.0,0.2209,0.0,0.0,0.0,0.2952
RH29_020604b,RH29,NH,0.7028,0.732,0.79,0.3083,0.4435,0.6177,0.7028,0.6158,0.0111,0.0759,0.4628,0.8732,0.3148,0.3365,0.5684,0.239,0.4651,0.5889,0.3843,0.0,0.0,0.0,0.3161
RH29_020604c,RH29,NH,0.715,0.6745,0.8819,0.2906,0.4372,0.6745,0.715,0.674,0.0055,0.0355,0.4105,0.8876,0.267,0.4646,0.8614,0.3181,0.5879,0.932,0.4294,0.0,0.0,0.0,0.3658
RJ22_020612a,RJ22,HI,0.5627,0.7165,0.87,0.4578,0.5999,0.4898,0.5627,0.4914,0.0083,0.063,0.4663,0.8188,0.3259,0.0,0.0,0.0,0.7062,0.8892,0.5857,0.0,0.0,0.0,0.2931
RJ22_020612b,RJ22,HI,0.5074,0.7024,0.8799,0.5202,0.6538,0.417,0.5074,0.4131,0.027,0.0674,0.518,0.8075,0.3813,0.0,0.0,0.0,0.7183,0.891,0.6017,0.0,0.0,0.0,0.3091
RJ22_020612c,RJ22,HI,0.5982,0.6905,0.7058,0.447,0.5474,0.4063,0.5976,0.4027,0.0287,0.1662,0.4893,0.6337,0.3985,0.0,0.0,0.0,0.6235,0.7377,0.5399,0.2812,0.7912,0.171,0.3485
RK22_020527a,RK22,HI,0.5349,0.5925,0.7526,0.4801,0.5862,0.3558,0.5349,0.3501,0.015,0.1698,0.6246,0.7045,0.561,0.534,0.8276,0.3942,0.0,0.0,0.0,0.0,0.0,0.0,0.2897
RK22_020527c,RK22,HI,0.661,0.6954,0.7071,0.3455,0.4642,0.4946,0.661,0.507,0.0065,0.1475,0.4437,0.7807,0.3099,0.5,0.6251,0.4167,0.0,0.0,0.0,0.0,0.0,0.0,0.2359
SA73_020012a,SA73,HI,0.5363,0.6899,0.6143,0.6319,0.623,0.1648,0.5363,0.1663,0.0511,0.3189,0.6467,0.7801,0.5523,0.6492,0.5212,0.8606,0.4763,0.5937,0.3976,0.0549,0.3798,0.0296,0.4568
SA73_020012b,SA73,HI,0.5811,0.5894,0.7136,0.5559,0.625,0.2591,0.5811,0.2494,0.137,0.1947,0.7542,0.6721,0.8591,0.6366,0.8752,0.5002,0.4394,0.446,0.433,0.0,0.0,0.0,0.4576
SA73_020012c,SA73,HI,0.6624,0.6883,0.6986,0.4976,0.5812,0.215,0.6624,0.1973,0.1528,0.3123,0.577,0.5677,0.5867,0.6869,0.9088,0.5521,0.0,0.0,0.0,0.7084,0.8002,0.6356,0.4931
SC36_020806a,SC36,HI,0.667,0.7181,0.7126,0.3998,0.5122,0.4346,0.667,0.4418,0.061,0.1642,0.4992,0.6108,0.4221,0.5951,0.8264,0.4649,0.0,0.0,0.0,0.2632,0.3361,0.2163,0.3394
SC36_020806b,SC36,HI,0.7458,0.7168,0.6299,0.4136,0.4993,0.361,0.7288,0.4077,0.0776,0.2434,0.5203,0.4609,0.5972,0.4,0.8161,0.2649,0.0,0.0,0.0,0.0,0.0,0.0,0.2301
