uri,child_id,group,DER,JER,Purity,Coverage,F-measure,DetER,IER,IER_miss,IER_FA,IER_confusion,F1_KCHI,P_KCHI,R_KCHI,F1_FEM,P_FEM,R_FEM,F1_MAL,P_MAL,R_MAL,F1_OCH,P_OCH,R_OCH,AvgF1
WA04_020716c,WA04,HI,0.5881,0.7711,0.7871,0.4367,0.5617,0.4563,0.5793,0.4431,0.0253,0.1109,0.4332,0.6916,0.3153,0.6624,0.8134,0.5586,0.2638,0.7363,0.1607,0.0,0.0,0.0,0.3398
WA50_020818a,WA50,HI,0.585,0.793,0.8005,0.4463,0.5731,0.4849,0.5828,0.4748,0.0148,0.0932,0.5967,0.8339,0.4646,0.0,0.0,0.0,0.5754,0.7553,0.4647,0.0,0.0,0.0,0.293
WA50_020818b,WA50,HI,0.5376,0.587,0.8684,0.4735,0.6128,0.4644,0.5376,0.4603,0.0111,0.0662,0.6414,0.9044,0.4969,0.5315,0.7444,0.4133,0.0,0.0,0.0,0.0,0.0,0.0,0.2932
WA50_020818c,WA50,HI,0.6879,0.7592,0.7077,0.3424,0.4615,0.5448,0.6867,0.5349,0.0291,0.1227,0.3739,0.7132,0.2533,0.4103,0.8109,0.2746,0.5703,0.6877,0.4872,0.1744,1.0,0.0955,0.3822
WE17_020711a,WE17,HI,0.6032,0.6049,0.9621,0.4002,0.5653,0.5803,0.6032,0.5859,0.0033,0.014,0.564,0.9925,0.3939,0.0,0.0,0.0,0.5706,0.9131,0.4149,0.0,0.0,0.0,0.2836
WE17_020711b,WE17,HI,0.4574,0.4909,0.9549,0.5512,0.6989,0.426,0.4574,0.426,0.0086,0.0228,0.7138,0.9793,0.5615,0.0,0.0,0.0,0.6397,0.8324,0.5194,0.0,0.0,0.0,0.3384
WE17_020711c,WE17,HI,0.6819,0.8029,0.7263,0.3516,0.4738,0.5353,0.6819,0.5353,0.0257,0.1209,0.339,0.5205,0.2514,0.5613,0.826,0.4251,0.3364,0.9126,0.2062,0.0,0.0,0.0,0.3092
WG24_021112a,WG24,NH,0.4266,0.4489,0.8343,0.6189,0.7106,0.2899,0.4266,0.285,0.0455,0.0961,0.6759,0.8375,0.5666,0.757,0.8257,0.6988,0.0,0.0,0.0,0.0,0.0,0.0,0.3582
WG24_021112b,WG24,NH,0.5178,0.6987,0.7573,0.5424,0.6321,0.3122,0.5178,0.3083,0.0594,0.1502,0.6601,0.7883,0.5677,0.5908,0.6498,0.5416,0.0,0.0,0.0,0.0,0.0,0.0,0.3127
WG24_021112c,WG24,NH,0.5615,0.6054,0.7659,0.4548,0.5707,0.4152,0.5615,0.4152,0.0162,0.1301,0.6121,0.7187,0.5331,0.5414,0.8072,0.4073,0.5574,0.8062,0.4259,0.0,0.0,0.0,0.4277
WH09_020515a,WH09,HI,0.5501,0.5467,0.7453,0.4714,0.5775,0.385,0.5676,0.3867,0.0281,0.1528,0.5673,0.6864,0.4833,0.5591,0.7698,0.4389,0.0,0.0,0.0,0.0,0.0,0.0,0.2816
WH09_020515b,WH09,HI,0.6406,0.641,0.6204,0.4633,0.5305,0.3537,0.6406,0.3142,0.1039,0.2225,0.4333,0.5999,0.3391,0.6088,0.6352,0.5846,0.0,0.0,0.0,0.5789,0.61,0.5509,0.4052
WH09_020515c,WH09,HI,0.6457,0.7124,0.684,0.3912,0.4977,0.4476,0.6457,0.4476,0.0369,0.1612,0.4417,0.5546,0.367,0.6062,0.7701,0.4998,0.0,0.0,0.0,0.2755,0.6711,0.1734,0.3308
WM15_020618a,WM15,NH,0.523,0.5537,0.85,0.4934,0.6244,0.4307,0.523,0.4307,0.0164,0.0759,0.647,0.8711,0.5146,0.5907,0.8077,0.4657,0.0,0.0,0.0,0.0,0.0,0.0,0.3094
WM15_020618b,WM15,NH,0.5179,0.5315,0.8659,0.4989,0.6331,0.4322,0.5179,0.4294,0.0168,0.0716,0.6113,0.9272,0.456,0.0,0.0,0.0,0.6691,0.7904,0.58,0.0,0.0,0.0,0.3201
WM15_020618c,WM15,NH,0.6204,0.636,0.8074,0.4144,0.5477,0.5074,0.5028,0.3394,0.0582,0.1052,0.619,0.7557,0.5242,0.0,0.0,0.0,0.7232,0.8402,0.6348,0.0,0.0,0.0,0.3356
